<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,3.27,108867577.0,84985.0,512.0,✓,✗,(✓),✗,31.63 ± 1.79 / 53.45 ± 1.33,86.25 ± 0.44 / 75.77 ± 0.68,5.13 ± 3.98 / 47.34 ± 5.16,19.04 ± 1.28 / 11.91 ± 1.01,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k</a>,🧠,3.28,3482503680.0,49152.0,2048.0,✓,✗,(✓),✗,36.19 ± 2.23 / 55.93 ± 2.11,49.84 ± 3.45 / 42.47 ± 3.85,2.90 ± 1.58 / 44.56 ± 3.08,56.95 ± 0.76 / 41.76 ± 1.14,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.8.1.dev0
<a href='https://hf.co/common-pile/comma-v0.1-1t'>common-pile/comma-v0.1-1t</a>,🧠,3.28,7002656768.0,64256.0,16384.0,✓,✗,(✓),✗,44.34 ± 2.23 / 59.88 ± 2.62,47.43 ± 2.59 / 41.37 ± 1.80,-0.13 ± 0.25 / 33.37 ± 0.27,54.82 ± 2.33 / 41.14 ± 1.54,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,3.28,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,35.48 ± 1.20 / 43.19 ± 0.60,59.74 ± 3.53 / 49.12 ± 2.72,15.75 ± 2.06 / 51.50 ± 2.97,29.84 ± 1.01 / 0.06 ± 0.04,15.6.1.dev0,15.7.1.dev0,15.6.1.dev0,15.7.1.dev0
<a href='https://hf.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,3.31,278044162.0,250002.0,512.0,✓,✗,(✓),✗,49.59 ± 2.25 / 66.22 ± 1.52,81.12 ± 0.73 / 70.67 ± 1.02,-0.27 ± 1.62 / 43.36 ± 3.71,7.60 ± 1.70 / 3.30 ± 0.69,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b</a>,📝,3.33,1000000000.0,262144.0,32768.0,✓,✗,✗,✓,39.29 ± 2.34 / 58.96 ± 1.63,42.67 ± 1.83 / 37.34 ± 1.65,7.39 ± 1.66 / 47.99 ± 2.52,50.73 ± 0.42 / 35.25 ± 0.80,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,3.33,394781696.0,50368.0,8192.0,✓,✗,(✓),✗,24.48 ± 2.22 / 46.73 ± 2.31,61.46 ± 3.29 / 56.52 ± 3.16,9.93 ± 7.16 / 52.57 ± 4.57,42.99 ± 1.67 / 29.76 ± 1.67,15.12.0.dev0,15.12.0.dev0,15.12.0.dev0,15.12.0.dev0
<a href='https://hf.co/kurakurai/Luth-0.6B-Instruct'>kurakurai/Luth-0.6B-Instruct</a>,📝,3.36,596049920.0,151936.0,40960.0,✗,✗,(✓),✗,42.15 ± 2.24 / 59.22 ± 2.33,40.53 ± 3.62 / 33.14 ± 2.82,8.20 ± 1.20 / 52.85 ± 0.97,45.56 ± 1.91 / 22.07 ± 2.27,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0,15.15.0.dev0
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,3.37,7615616512.0,152064.0,4096.0,✓,✗,(✓),✓,36.88 ± 2.29 / 42.63 ± 1.37,42.55 ± 2.42 / 38.56 ± 1.75,9.98 ± 2.39 / 45.78 ± 2.82,45.73 ± 7.30 / 28.47 ± 7.70,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking'>sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking</a>,🔍,3.37,134734080.0,119547.0,512.0,✓,✗,(✓),✗,45.03 ± 1.10 / 63.07 ± 0.78,79.57 ± 0.72 / 69.30 ± 0.49,1.23 ± 1.70 / 45.33 ± 2.94,8.56 ± 0.46 / 4.09 ± 0.34,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,3.37,134734080.0,119547.0,512.0,✓,✗,(✓),✗,45.03 ± 1.10 / 63.07 ± 0.78,79.52 ± 0.75 / 69.26 ± 0.50,1.32 ± 1.72 / 45.35 ± 2.89,8.56 ± 0.49 / 4.08 ± 0.30,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,3.38,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,25.36 ± 4.37 / 41.97 ± 5.36,31.21 ± 4.07 / 33.19 ± 2.82,11.69 ± 2.57 / 50.04 ± 4.68,68.96 ± 1.22 / 50.71 ± 1.26,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.38,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,43.19 ± 3.24 / 59.53 ± 3.14,36.85 ± 2.53 / 31.26 ± 1.83,4.66 ± 2.98 / 37.54 ± 2.07,49.71 ± 2.52 / 32.70 ± 3.21,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base</a>,🧠,3.40,3374286336.0,49152.0,4096.0,✓,✗,(✓),✗,35.79 ± 3.86 / 50.74 ± 2.55,34.58 ± 4.39 / 31.78 ± 3.24,3.71 ± 1.19 / 40.89 ± 4.32,63.37 ± 1.04 / 47.64 ± 2.07,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.41,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,35.49 ± 5.69 / 49.90 ± 7.37,56.22 ± 2.38 / 45.23 ± 2.99,0.21 ± 0.42 / 33.37 ± 0.25,40.82 ± 8.71 / 29.05 ± 7.05,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.44,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,17.67 ± 1.26 / 26.19 ± 0.79,42.54 ± 4.25 / 38.87 ± 2.62,6.10 ± 2.44 / 46.37 ± 2.79,67.52 ± 0.92 / 49.63 ± 0.83,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0,17.1.0.dev0
<a href='https://hf.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B</a>,📝,3.47,14167290880.0,152064.0,32768.0,✓,✗,(✓),✓,40.44 ± 0.88 / 44.26 ± 0.65,39.24 ± 1.62 / 25.27 ± 1.30,26.57 ± 2.07 / 62.56 ± 0.98,15.60 ± 0.67 / 0.00 ± 0.00,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B'>deepseek-ai/DeepSeek-R1-Distill-Llama-8B</a>,🤔,3.47,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,44.33 ± 4.21 / 61.24 ± 2.83,40.67 ± 1.21 / 28.14 ± 0.63,6.64 ± 1.65 / 52.99 ± 0.97,33.08 ± 1.19 / 20.15 ± 1.06,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
<a href='https://hf.co/dbmdz/bert-base-historic-multilingual-cased'>dbmdz/bert-base-historic-multilingual-cased</a>,🔍,3.48,111243522.0,32000.0,512.0,✓,✗,(✓),✗,28.24 ± 1.71 / 49.99 ± 1.90,73.94 ± 0.93 / 64.57 ± 0.52,0.08 ± 1.62 / 45.56 ± 2.65,24.73 ± 1.45 / 15.35 ± 1.24,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-14B</a>,🤔,3.49,14770033664.0,152064.0,131072.0,✓,✗,(✓),✓,37.81 ± 1.77 / 50.11 ± 1.23,53.72 ± 1.71 / 32.17 ± 1.26,3.87 ± 1.89 / 50.39 ± 1.21,32.67 ± 1.33 / 17.61 ± 1.39,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,3.49,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,45.96 ± 4.24 / 61.27 ± 4.96,58.45 ± 2.35 / 40.71 ± 2.07,0.01 ± 1.13 / 33.40 ± 0.31,18.71 ± 2.43 / 3.38 ± 2.20,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,3.50,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,38.63 ± 1.38 / 51.19 ± 1.80,25.13 ± 2.30 / 17.90 ± 1.08,22.28 ± 1.07 / 59.75 ± 0.57,38.11 ± 0.98 / 28.60 ± 0.97,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,3.51,93990500.0,65636.0,512.0,✓,✗,(✓),✓,27.87 ± 2.50 / 51.48 ± 1.71,57.43 ± 0.68 / 50.10 ± 0.46,12.93 ± 5.27 / 55.67 ± 2.38,23.46 ± 1.51 / 14.78 ± 1.09,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-2-2b'>google/gemma-2-2b</a>,🧠,3.51,2614341888.0,256000.0,8192.0,✓,✗,(✓),✓,45.21 ± 2.62 / 57.73 ± 3.19,13.48 ± 5.79 / 19.17 ± 4.02,6.02 ± 1.47 / 45.69 ± 3.87,59.65 ± 1.77 / 43.77 ± 2.11,15.4.1.dev0,15.4.1.dev0,15.4.1.dev0,15.4.1.dev0
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.55,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,39.93 ± 2.51 / 53.22 ± 3.99,37.00 ± 3.12 / 33.77 ± 3.41,1.53 ± 2.28 / 37.58 ± 2.63,44.70 ± 2.87 / 31.54 ± 3.99,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama</a>,🧠,3.56,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,32.64 ± 1.96 / 38.57 ± 1.82,30.17 ± 4.58 / 25.20 ± 4.13,1.76 ± 2.19 / 45.26 ± 3.48,53.91 ± 1.58 / 38.81 ± 1.35,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,3.58,117654272.0,250037.0,512.0,✓,✗,(✓),✗,41.90 ± 10.08 / 60.80 ± 7.32,62.62 ± 2.80 / 59.05 ± 2.26,0.69 ± 1.20 / 47.43 ± 1.90,8.64 ± 0.23 / 2.94 ± 0.37,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,3.60,751632384.0,151936.0,40960.0,✓,✗,✗,✓,33.80 ± 2.19 / 49.56 ± 1.76,30.06 ± 1.56 / 22.92 ± 1.20,2.86 ± 1.39 / 49.71 ± 0.86,50.49 ± 0.95 / 35.31 ± 1.33,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct</a>,📝,3.61,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,28.10 ± 3.52 / 39.18 ± 5.39,28.36 ± 5.16 / 27.77 ± 2.91,9.31 ± 1.73 / 50.27 ± 2.73,48.14 ± 0.77 / 31.05 ± 1.40,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,3.61,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,49.18 ± 2.27 / 65.29 ± 1.72,45.66 ± 1.80 / 35.05 ± 1.12,1.62 ± 2.45 / 34.64 ± 1.41,14.37 ± 0.95 / 0.03 ± 0.02,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct</a>,📝,3.62,1334628352.0,49155.0,4096.0,✓,✗,(✓),✗,34.15 ± 2.02 / 53.98 ± 1.97,32.47 ± 2.06 / 25.53 ± 1.47,1.32 ± 1.36 / 40.06 ± 3.20,48.99 ± 0.84 / 34.53 ± 1.44,15.4.1,15.4.1,15.4.1,15.4.1
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,3.62,7452725248.0,250680.0,4096.0,✓,✗,(✓),✗,15.07 ± 2.37 / 30.63 ± 2.50,45.86 ± 2.22 / 33.38 ± 1.89,0.91 ± 1.41 / 37.66 ± 1.04,54.56 ± 3.82 / 38.49 ± 3.80,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,3.62,395881664.0,50368.0,8192.0,✓,✗,(✓),✓,21.73 ± 2.00 / 46.26 ± 1.84,62.37 ± 2.49 / 57.56 ± 1.75,4.86 ± 2.02 / 50.01 ± 1.96,26.78 ± 0.86 / 15.39 ± 0.76,15.5.0.dev0,15.5.0.dev0,15.5.0.dev0,15.5.0.dev0
<a href='https://hf.co/OpenLLM-France/Lucie-7B'>OpenLLM-France/Lucie-7B</a>,📝,3.64,6706960384.0,65024.0,32000.0,✓,✗,(✓),✗,46.33 ± 3.04 / 61.95 ± 3.13,35.66 ± 2.03 / 34.60 ± 1.72,4.58 ± 1.16 / 38.49 ± 2.97,25.04 ± 1.00 / 0.08 ± 0.05,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0,15.7.2.dev0
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.65,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,14.30 ± 4.30 / 29.88 ± 3.12,45.58 ± 1.41 / 43.23 ± 1.35,2.37 ± 1.66 / 34.80 ± 0.83,48.95 ± 4.99 / 35.62 ± 3.82,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.65,751632384.0,151936.0,40960.0,✓,✗,✗,✓,29.02 ± 4.06 / 41.86 ± 4.87,33.32 ± 3.55 / 26.48 ± 2.70,5.07 ± 2.12 / 45.28 ± 4.30,43.66 ± 1.30 / 28.05 ± 1.48,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/google/gemma-2b'>google/gemma-2b</a>,🧠,3.66,2506172416.0,256000.0,8192.0,✓,✗,(✓),✓,47.86 ± 2.18 / 64.23 ± 1.75,9.92 ± 5.10 / 15.13 ± 4.90,0.97 ± 1.62 / 36.93 ± 2.21,54.50 ± 1.67 / 40.25 ± 1.47,15.8.2,15.8.2,15.8.2,15.8.2
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,3.67,149655232.0,50368.0,8192.0,✓,✗,(✓),✓,23.96 ± 2.84 / 47.77 ± 1.93,59.27 ± 1.67 / 55.00 ± 1.07,2.05 ± 2.42 / 47.85 ± 2.28,22.12 ± 1.61 / 12.27 ± 1.20,15.5.0.dev0,15.5.0.dev0,15.5.0.dev0,15.5.0.dev0
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.68,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,42.53 ± 2.62 / 59.81 ± 2.45,42.46 ± 2.22 / 33.94 ± 1.98,9.33 ± 1.18 / 53.71 ± 0.78,12.65 ± 0.53 / 0.00 ± 0.00,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,3.68,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,33.05 ± 4.79 / 43.12 ± 4.94,37.63 ± 2.30 / 31.23 ± 1.09,1.31 ± 1.05 / 42.08 ± 1.57,39.68 ± 1.56 / 11.80 ± 4.53,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.69,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,27.99 ± 5.88 / 45.50 ± 6.54,38.68 ± 2.94 / 33.11 ± 3.49,-0.88 ± 1.56 / 42.96 ± 2.78,42.33 ± 1.55 / 31.01 ± 1.26,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,3.70,1791080448.0,120818.0,262144.0,✓,✗,(✓),✓,37.28 ± 2.17 / 57.11 ± 1.56,40.51 ± 2.09 / 31.37 ± 1.50,2.47 ± 1.95 / 47.73 ± 0.67,26.84 ± 0.91 / 0.00 ± 0.00,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0
<a href='https://hf.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B</a>,🧠,3.70,14030361600.0,131072.0,4096.0,✓,✗,✗,✓,31.81 ± 4.37 / 42.00 ± 5.34,28.35 ± 7.18 / 26.71 ± 4.26,2.50 ± 1.49 / 36.52 ± 1.66,44.64 ± 2.19 / 33.44 ± 1.39,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,3.73,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,29.86 ± 2.99 / 41.68 ± 2.37,59.97 ± 3.46 / 38.53 ± 1.36,0.40 ± 0.77 / 33.40 ± 0.31,12.82 ± 4.68 / 6.76 ± 2.87,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B</a>,🧠,3.74,?,128000.0,4096.0,✓,✗,(✓),✓,25.75 ± 7.05 / 33.51 ± 6.23,28.38 ± 6.31 / 27.33 ± 4.60,1.23 ± 2.02 / 38.07 ± 3.27,52.23 ± 1.92 / 39.10 ± 1.02,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/google/gemma-7b-it'>google/gemma-7b-it</a>,📝,3.75,8537680896.0,256000.0,8192.0,✗,✗,(✓),✓,23.25 ± 5.56 / 39.85 ± 6.24,56.96 ± 2.73 / 47.35 ± 2.37,6.05 ± 1.52 / 47.44 ± 3.02,15.36 ± 1.40 / 1.48 ± 0.50,15.6.1,15.6.1,15.6.1,15.6.1
<a href='https://hf.co/sentence-transformers/distiluse-base-multilingual-cased-v2'>sentence-transformers/distiluse-base-multilingual-cased-v2</a>,🔍,3.76,134734080.0,119547.0,512.0,✓,✗,(✓),✗,40.68 ± 1.77 / 60.28 ± 1.19,53.29 ± 2.67 / 51.73 ± 1.84,0.64 ± 1.12 / 46.82 ± 1.71,6.24 ± 0.36 / 2.14 ± 0.37,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/sentence-transformers/distiluse-base-multilingual-cased-v1'>sentence-transformers/distiluse-base-multilingual-cased-v1</a>,🔍,3.76,134734080.0,119547.0,512.0,✓,✗,(✓),✗,42.60 ± 1.15 / 61.54 ± 0.77,53.67 ± 1.90 / 50.66 ± 1.91,0.21 ± 1.27 / 44.62 ± 2.15,5.50 ± 0.47 / 1.79 ± 0.31,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/sentence-transformers/distiluse-base-multilingual-cased'>sentence-transformers/distiluse-base-multilingual-cased</a>,🔍,3.76,134734080.0,119547.0,512.0,✓,✗,(✓),✗,40.68 ± 1.77 / 60.28 ± 1.19,53.52 ± 2.99 / 51.90 ± 1.99,0.64 ± 1.12 / 46.82 ± 1.71,6.19 ± 0.43 / 2.15 ± 0.39,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0,15.3.1.dev0
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,3.77,949685760.0,128256.0,4096.0,✗,✗,(✓),✓,10.14 ± 3.03 / 21.37 ± 2.35,42.64 ± 3.09 / 32.20 ± 3.00,1.85 ± 1.36 / 47.75 ± 2.13,48.93 ± 0.73 / 35.23 ± 1.02,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,3.77,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,27.84 ± 7.08 / 46.91 ± 6.66,8.34 ± 3.33 / 7.24 ± 2.86,0.00 ± 0.00 / 33.30 ± 0.27,68.84 ± 0.80 / 47.55 ± 0.92,15.9.2.dev0,15.10.0,15.10.0,15.10.0
<a href='https://hf.co/microsoft/phi-2'>microsoft/phi-2</a>,🧠,3.78,2779683840.0,51200.0,2048.0,✓,✗,(✓),✓,22.83 ± 5.49 / 39.45 ± 4.53,29.42 ± 6.82 / 26.48 ± 5.44,0.56 ± 1.03 / 46.16 ± 2.63,48.82 ± 1.07 / 35.39 ± 1.18,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct</a>,📝,3.79,1656850432.0,128000.0,4096.0,✓,✗,(✓),✓,20.88 ± 3.11 / 39.60 ± 3.23,21.76 ± 8.55 / 24.50 ± 4.43,2.68 ± 1.34 / 45.51 ± 3.40,54.25 ± 0.83 / 38.31 ± 2.16,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,3.81,68977172480.0,32032.0,8192.0,✗,✗,(✓),✗,21.29 ± 8.73 / 34.10 ± 8.90,72.48 ± 1.80 / 60.09 ± 2.61,1.23 ± 1.70 / 35.27 ± 1.64,2.67 ± 1.72 / 1.30 ± 0.99,15.3.1,15.3.1,15.3.1,15.3.1
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,3.81,2023868416.0,64000.0,4096.0,✓,✗,(✓),✗,0.56 ± 0.79 / 16.74 ± 0.19,39.59 ± 3.03 / 33.35 ± 2.38,1.46 ± 0.68 / 44.75 ± 2.72,64.01 ± 1.53 / 49.05 ± 1.41,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0,16.0.0.dev0
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,3.85,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,31.88 ± 3.59 / 40.00 ± 3.70,47.85 ± 2.45 / 40.82 ± 2.78,1.21 ± 1.29 / 47.99 ± 2.99,14.33 ± 0.70 / 0.00 ± 0.00,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B</a>,🧠,3.85,1711376384.0,49152.0,8192.0,✓,✗,(✓),✓,26.02 ± 3.81 / 35.45 ± 3.98,28.37 ± 4.77 / 29.26 ± 4.12,-1.97 ± 1.28 / 41.26 ± 4.39,45.46 ± 2.39 / 32.71 ± 1.87,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0,15.2.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,3.85,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,17.55 ± 3.13 / 34.16 ± 2.32,50.64 ± 1.93 / 41.92 ± 2.04,12.93 ± 2.68 / 48.60 ± 5.10,14.99 ± 3.27 / 5.47 ± 2.46,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.85,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,30.37 ± 2.89 / 38.36 ± 2.79,10.78 ± 5.82 / 13.99 ± 3.91,2.10 ± 1.75 / 41.67 ± 3.18,50.49 ± 0.81 / 36.88 ± 0.62,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0
