<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=12 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=13 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,<a href='https://euroeval.com/datasets/italian#sentipolc16'>sentipolc16</a>,<a href='https://euroeval.com/datasets/italian#multinerd-it'>multinerd_it</a>,<a href='https://euroeval.com/datasets/italian#scala-it'>scala_it</a>,<a href='https://euroeval.com/datasets/italian#squad-it'>squad_it</a>,sentipolc16_version,multinerd_it_version,scala_it_version,squad_it_version
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.80,?,?,400000.0,✓,✗,✗,✓,60.17 ± 1.14 / 69.95 ± 0.83,60.04 ± 0.98 / 35.31 ± 0.59,63.13 ± 1.01 / 81.49 ± 0.52,74.56 ± 0.48 / 49.63 ± 0.50,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0,17.0.0.dev0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.81,27432406640.0,262144.0,?,✓,✗,(✓),✓,60.17 ± 3.16 / 70.43 ± 3.48,65.20 ± 3.17 / 55.94 ± 2.90,57.15 ± 5.82 / 77.46 ± 3.78,72.87 ± 5.07 / 54.31 ± 4.25,16.5.0.dev0,15.6.1,16.5.0.dev0,15.6.1
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.81,7849978192.0,262400.0,8192.0,✓,✗,(✓),✓,63.03 ± 1.80 / 74.81 ± 1.39,76.06 ± 1.23 / 55.04 ± 2.82,52.77 ± 1.43 / 74.72 ± 1.23,68.53 ± 1.07 / 44.21 ± 2.46,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.81,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,58.68 ± 1.43 / 67.66 ± 1.39,87.46 ± 0.89 / 62.71 ± 2.17,45.88 ± 1.98 / 69.01 ± 1.51,67.79 ± 4.74 / 50.55 ± 3.41,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.82,24011361280.0,131072.0,?,✓,✗,(✓),✓,67.45 ± 1.66 / 76.94 ± 1.87,82.60 ± 0.94 / 65.85 ± 1.20,35.71 ± 5.08 / 65.72 ± 3.67,76.10 ± 1.08 / 57.63 ± 1.95,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0,15.16.0.dev0
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,1.83,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,63.22 ± 1.16 / 73.07 ± 0.91,76.04 ± 1.24 / 58.53 ± 1.16,50.60 ± 2.09 / 72.88 ± 1.38,70.06 ± 0.60 / 49.32 ± 0.52,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0,17.2.0.dev0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.83,24261800960.0,131072.0,8192.0,✓,✗,(✓),✓,62.61 ± 1.53 / 74.64 ± 1.21,83.20 ± 0.80 / 69.28 ± 1.21,39.16 ± 4.57 / 66.05 ± 4.05,74.58 ± 1.85 / 56.65 ± 1.82,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0,16.4.0.dev0
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,1.84,9241705984.0,256000.0,8192.0,✗,✗,(✓),✗,60.83 ± 2.06 / 71.75 ± 1.62,56.06 ± 4.17 / 46.00 ± 3.11,62.03 ± 4.34 / 80.07 ± 2.49,73.35 ± 1.28 / 53.25 ± 1.45,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0,16.16.1.dev0
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,1.85,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,60.53 ± 0.76 / 72.62 ± 0.77,69.28 ± 1.37 / 51.01 ± 2.32,53.70 ± 1.79 / 75.64 ± 1.31,71.47 ± 2.83 / 54.76 ± 2.08,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0,16.10.0.dev0
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.86,32759790592.0,151665.0,131072.0,✓,✗,(✓),✗,67.72 ± 1.59 / 76.13 ± 1.34,84.91 ± 0.80 / 58.73 ± 2.34,31.09 ± 2.28 / 55.22 ± 2.85,73.47 ± 0.62 / 51.98 ± 1.73,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0,15.8.1.dev0
